Device Type,Class,Make,Model,Features,Data Sheets
IP Phone,Wireless,EnGenius,DuraFon-SIP,Long-range SIP Cordless Phone,https://mixnet.sharepoint.com/:b:/s/Marketing/Ea7Q_icgJ_dHrbocB4QrhOgBM9DWmklDIh9sMBmhYDQ3Iw?e=H7cyLO
IP Phone,Wired,Poly,Edge 300,8line keys supporting up to 32-line key assignments,https://mixnet.sharepoint.com/:b:/s/Marketing/EbwjS3Q6Z9ZHlPO5PB_NumIBIvuE-3Kb43ONTGpm0YN9rg?e=1T55cv
IP Phone,Wired,Poly,Edge 350,Native Bluetooth and Wi-Fi,
IP Phone,Wired,Poly,Edge 400,14-line keys supporting up to 44-line key assignments,https://mixnet.sharepoint.com/:b:/s/Marketing/EZa0yXcRUwhKqZ-hP2GvqCcBo0gxt_lwJlC_8LcR1Rd1vg?e=ZWMKLO
IP Phone,Wired,Poly,Edge 450,Native Bluetooth and Wi-Fi,
IP Phone,Wired,Poly,Edge 500,12-line keys supporting up to 48-line key assignments,https://mixnet.sharepoint.com/:b:/s/Marketing/EY937_FztZBOvsdLPYfxYUMBfH3Kl6fclc0c_UkKSm7cqQ?e=vTnikc
IP Phone,Wired,Poly,Edge 550,Native Bluetooth and Wi-Fi,
IP Phone,Wired,Poly,VVX EM50,30 multifunctional line keys,https://mixnet.sharepoint.com/:b:/s/Marketing/EfSe-xZ_e7tHpXgJ-JMud90B30JVv1XTQQpWOKpJJp9SWA?e=MVGWGB
IP Phone,Wireless,Yealink,AX83H,"9 hour-talk time battery life, seamless roaming",https://mixnet.sharepoint.com/:b:/s/Marketing/ESKUZc0ncyRGjKnOBtL-E0EBcFVBjYq1ovK6WGwEeCm_hA?e=FmPaK7
IP Phone,Wireless,Yealink,AX86R,"Waterproof, dustproof, and drop proff with 13-hour talk time battery",https://mixnet.sharepoint.com/:b:/s/Marketing/EY_fYQG7C0FGios0hUP72tABd89FNtjKZLLEsn-B9qg0aQ?e=Bag33q
IP Phone,Wireless,Yealink,W70B,Pairs up to 10 Yealink compatible devices,https://mixnet.sharepoint.com/:b:/s/Marketing/EdREFRqU7SxHuuY9FnmW7JABqCmczKPNebYLAr4mGoab-Q?e=UqKbeu
IP Phone,Wired,Yealink,SIP-T54W,Four programable soft keys and built-in bluetooth,https://mixnet.sharepoint.com/:b:/s/Marketing/EZfHUZc_7F9BoWF2Rti2INEBhMHBjuluC0LQnFdyo20JuQ?e=Vy1Mxk
IP Phone,Wired,Yealink,SIP-757W,"7 inch display, with touchscreen capabilities and built-in bluetooth",https://mixnet.sharepoint.com/:b:/s/Marketing/Ef-gtZ9wIWFBgB-1jh5ymiMBcNPDFg0-g-s5phmBDVVi2g?e=j3uCR9
IP Phone,Wired,Yealink,VP59,"8 inch display, with touhcscreen capabilities and 1080P HD Camera",https://mixnet.sharepoint.com/:b:/s/Marketing/EWkZVeBpz7dJjHoWHfXvCM4BgwUu_49WuPuyKizY-8iqRg?e=XkrVVJ
IP Phone,Wired,Yealink,EXP50,"20 hard keys, and 3 soft keys for up to 60 programmable features",https://mixnet.sharepoint.com/:b:/s/Marketing/ESK42l9L7lxEmYtcYecGW58B2YoaREjoE9_WDBdfqYDrDg?e=bzvJdN
Headsets,Wireless,Yealink,WH62,"5 feature buttons, with a 13-hour talk time battery life",https://mixnet.sharepoint.com/:b:/s/Marketing/EVy8yBc3TZ9JpvWsu80jh2YBlgZuS-JWjc96XwzTC4c06g?e=bC3OI0
